id,from_address,to_address,transaction_id,block_number,block_timestamp,amount,chat_id,transferred,created_at
13,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x8ff70d114f73a8ce8cb36887dcb9792a84f3f27694180fcd7328e2667256ee85',60664011,2024-08-16 17:18:01,0.300000,,t,2024-08-16 15:36:41.790097
14,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xcb40b048f4aa4699ef2fd819450dcfb37da53fb8ba6fb851b2838234b9cdd504',60664533,2024-08-16 17:36:31,0.100000,,t,2024-08-16 15:36:41.790097
15,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x8a9016c89afc8b8a0c2a05a4ae8f9a29f6a54f27d1a2600a466d3941bd8781d4',60665356,2024-08-16 18:05:39,0.200000,,t,2024-08-16 16:06:19.655389
16,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x01f5ce6b5fd9f4f8be601baf195dd2e146e7253f996769a5ffc931896ba215da',60665454,2024-08-16 18:09:07,0.100000,,t,2024-08-16 16:09:47.235365
17,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xd02bef81792b70fa5f41cb023a60816ce55b4896d9f06e68c71fecf6a7e296e0',60666525,2024-08-16 18:47:03,0.100000,,t,2024-08-16 16:47:52.002942
18,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xfce8405b2beaba4b8af7d579829e6f94e4153ef710af19d7829a5d8dbe7da4de',60666817,2024-08-16 18:57:26,0.200000,,t,2024-08-16 16:58:17.685705
19,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xdc9f14ff1afdf880f907592f50d0aae2ffba134045c257f5f98ff8b301a3fc15',60710308,2024-08-17 20:54:59,0.100000,,t,2024-08-17 18:55:55.194215
22,'0x555e179d64335945Fc6B155B7235a31B0a595542','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xce6add50f535ad03f7586b859925a0d8408bfc117af1d306563673c5767615df',60742283,2024-08-18 15:49:25,1.000000,,t,2024-08-18 17:22:14.713965
23,'0x151f24cBbf4CA0A771b445E27579bEb1cA32E0E6','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xcf790c6dbc8c08c088d384596d5b5b2f91c99c179a93e56562e029071e590f31',60743759,2024-08-18 16:41:43,0.100000,,t,2024-08-18 17:22:14.713965
24,'0x555e179d64335945Fc6B155B7235a31B0a595542','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x68e2483041dfadde2d7d5dc9c7f3649fb2d34734140dd1ff7b855bbe84fb860f',60744593,2024-08-18 17:11:19,1.000000,,t,2024-08-18 17:22:14.713965
25,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x55030567aa7f5ac6b75a4d4a08c09a780dd9b88ad9166b6cac9b0bd9fecaf5ed',60747883,2024-08-18 19:08:02,0.200000,,t,2024-08-18 17:22:14.713965
26,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x16d157ab5758c442a324e10b6ff3fd7ce9d1eec6373fbf631e5455f3ab5a7e76',60748267,2024-08-18 19:21:38,1.000000,,t,2024-08-18 17:22:14.713965
20,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x7e23b74a7992eca9e245abfbbec976fc62f0ef9e7219c8a66d57487146157684',60735416,2024-08-18 11:45:06,0.300000,,t,2024-08-18 17:22:14.713965
21,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x15952efd57a802dafeadaa145d0a98d60f106ce57bed3ccfee78ae9d8f530bf7',60735724,2024-08-18 11:56:00,0.300000,,t,2024-08-18 17:22:14.713965
27,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x7088316101bc229db446337dc235a9862be9d6e40e34a7b188841b3c62eeee72',60748463,2024-08-18 19:28:34,1.000000,,t,2024-08-18 17:28:49.815297
28,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x1067a91880e4f17e34a3bf7621cd225b9a5140f22564501daefbeaba17a2c074',60748927,2024-08-18 19:45:02,2.000000,,t,2024-08-18 17:45:13.37374
29,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xbf3884547557ad5c8d5174dd5afcd38a575ef89ff0c6906e3114fceb8394da1a',60749035,2024-08-18 19:48:52,1.000000,,t,2024-08-18 17:49:31.598288
30,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0xa3f5cee16b40f95d7579d68d8e8797279c30c8b059000b082bf51e61af0bdc6c',60749332,2024-08-18 19:59:24,1.000000,,t,2024-08-18 18:00:24.233527
31,'0xB2a32B5CB0E601Bb0F7694dcCF92A1f03AC3cae9','0xE882233e1acAe0A253DBAE7FF79df645400f1BE6','0x781bdb61cbbf5d58f70ea6d12d6ca565e6c50c56e7dbe1cd47314a9668988c2d',60749461,2024-08-18 20:03:58,2.000000,,t,2024-08-18 18:04:33.964802
